rollup_id,display_name,type,da_posting_method,batcher_addresses_json,evidence_url,verified_utc,status,start_date_utc,end_date_utc,notes
arbitrum,Arbitrum One,optimistic_rollup,calldata_then_blobs,"[""0x0237e0EA0d86D53aF18dCf4CbE8182037b44ef1A"", ""0x0C5911d57B24FCF1DC8B2608eFbAe57C7098E32D"", ""0xC1b634853Cb333D3aD8663715b08f41A3Aec47cc""]",https://l2beat.com/scaling/projects/arbitrum,2026-03-31T00:00:00Z,active,2021-08-31,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 3 Sequencer EOAs; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
starknet,Starknet,zk_rollup,calldata_then_blobs,"[""0x2C169DFe5fBbA12957Bdd0Ba47d9CEDbFE260CA7"", ""0xF6b0B3e8f57396CecFD788D60499DB49Ee6AbC6B""]",https://l2beat.com/scaling/projects/starknet,2026-03-31T00:00:00Z,active,2021-11-29,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 2 Operator accounts; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
optimism,OP Mainnet,optimistic_rollup,calldata_then_blobs,"[""0x6887246668a3b87F54DeB3b94Ba47a6f63F32985""]",https://l2beat.com/scaling/projects/op-mainnet,2026-03-31T00:00:00Z,active,2021-12-16,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 1 Sequencer EOA; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
zksync_era,ZKsync Era,zk_rollup,calldata_then_blobs,"[""0x882A6C2ecbAbfFc40686D599a9375ad3b35427Fd"", ""0xE222D6354b49eaF8a7099fC4E7F9C0B4FE72d1E7"", ""0xc75cDcBEef3aE3365ABF0217815748586F9047F1""]",https://l2beat.com/scaling/projects/zksync-era,2026-03-31T00:00:00Z,active,2023-03-24,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 3 Validator accounts; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
linea,Linea,zk_rollup,calldata_then_blobs,"[""0x46d2F319fd42165D4318F099E143dEA8124E9E3e"", ""0x52FF08F313A00A54e3Beffb5C4a7F7446eFb6754""]",https://l2beat.com/scaling/projects/linea,2026-03-31T00:00:00Z,active,2023-07-12,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 2 Operator EOAs; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
base,Base Chain,optimistic_rollup,calldata_then_blobs,"[""0x5050F69a9786F081509234F1a7F4684b5E5b76C9""]",https://l2beat.com/scaling/projects/base,2026-03-31T00:00:00Z,active,2023-07-13,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 1 Sequencer EOA; used as L1 attribution hooks. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
scroll,Scroll,zk_rollup,calldata_then_blobs,[],https://l2beat.com/scaling/projects/scroll,2026-03-31T00:00:00Z,active,2023-10-17,,"growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT exposes tracked submission contracts but not a distinct batcher/operator account list, so batcher_addresses_json is blank. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward."
mode,Mode Network,optimistic_rollup,calldata_then_blobs,"[""0x99199a22125034c808ff20f377d91187E8050F2E""]",https://l2beat.com/scaling/projects/mode,2026-03-31T00:00:00Z,active,2024-01-31,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 1 Sequencer EOA; used as L1 attribution hooks. L2BEAT also exposes a proposer address; omitted here because this field is batcher-only. Used calldata until 2024-03-12 and blobs from 2024-03-13 onward.
taiko,Taiko Alethia,optimistic_rollup,blobs,"[""0x000cb000E880A92a8f383D69dA2142a969B93DE7"", ""0xCbeB5d484b54498d3893A0c3Eb790331962e9e9d""]",https://l2beat.com/scaling/projects/taiko,2026-03-31T00:00:00Z,active,2024-05-27,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 2 Sequencer EOAs; used as L1 attribution hooks. Blob posting from launch.
worldchain,World Chain,optimistic_rollup,blobs,"[""0xdBBE3D8c2d2b22A2611c5A94A9a12C2fCD49Eb29""]",https://l2beat.com/scaling/projects/world,2026-03-31T00:00:00Z,active,2024-10-17,,growthepie fees+rent_paid coverage; launch/type/DA cross-checked on 2026-03-31. L2BEAT permissions expose 1 Sequencer EOA; used as L1 attribution hooks. L2BEAT also exposes a proposer address; omitted here because this field is batcher-only. Blob posting from launch.
